site_report	date	total_test	result_pending	total_positive	total_negative	total_recovered	total_death
1	1/28/2020	4	1	1	2	0	0
2	1/29/2020	4	0	1	3	0	0
3	1/30/2020	5	0	1	4	0	0
4	1/31/2020	5	0	1	4	1	0
5	2/2/2020	6	1	1	4	1	0
6	2/4/2020	14	0	1	13	1	0
7	2/5/2020	14	0	1	13	1	0
8	2/6/2020	18	0	1	17	1	0
9	2/7/2020	18	0	1	17	1	0
10	2/9/2020	18	0	1	17	1	0
11	2/10/2020	18	0	1	17	1	0
12	2/11/2020	18	0	1	17	1	0
13	2/12/2020	20	0	1	19	1	0
14	2/13/2020	24	0	1	23	1	0
15	2/14/2020	24	0	1	23	1	0
16	2/16/2020	34	0	1	33	1	0
17	2/17/2020	34	0	1	33	1	0
18	2/18/2020	35	0	1	34	1	0
19	2/19/2020	210	0	1	209	1	0
20	2/20/2020	212	0	1	211	1	0
21	2/23/2020	216	0	1	215	1	0
22	2/24/2020	217	0	1	216	1	0
23	2/25/2020	217	0	1	216	1	0
24	2/26/2020	221	0	1	221	1	0
25	2/25/2020	221	0	1	220	1	0
26	2/28/2020	224	0	1	223	1	0
27	3/1/2020	243	0	1	242	1	0
28	3/2/2020	425	0	1	424	1	0
29	3/3/2020	433	0	1	432	1	0
30	3/4/2020	433	0	1	432	1	0
31	3/6/2020	437	0	1	436	1	0
32	3/10/2020	445	0	1	444	1	0
33	3/11/2020	447	0	1	446	1	0
34	3/12/2020	450	0	1	449	1	0
35	3/13/2020	456	0	1	455	1	0
36	3/15/2020	467	0	1	466	1	0
37	3/16/2020	478	0	1	477	1	0
38	3/17/2020	496	0	1	495	1	0
39	3/18/2020	512	0	1	511	1	0
40	3/19/2020	529	0	1	528	1	0
41	3/20/2020	546	0	1	545	1	0
42	3/22/2020	572	0	1	571	1	0
43	3/23/2020	610	0	2	607	1	0
44	3/24/2020	610	0	2	608	1	0
45	3/25/2020	687	0	3	684	1	0
46	3/26/2020	758	0	3	755	1	0
47	3/27/2020	802	0	3	799	1	0
48	3/28/2020	875	0	5	870	1	0
49	3/29/2020	917	0	5	912	1	0
50	3/30/2020	993	0	5	988	1	0
51	3/31/2020	1060	0	5	1055	1	0
52	4/1/2020	1145	0	5	1140	1	0
53	4/2/2020	1185	0	6	1179	1	0
54	4/3/2020	1308	44	6	1302	1	0
55	4/4/2020	1521	16	9	1512	1	0
56	4/5/2020	1642	50	9	1633	1	0
57	4/6/2020	1890	109	9	1881	1	0
58	4/7/2020	2122	167	9	2113	1	0
59	4/8/2020	2366	179	9	2357	1	0
60	4/9/2020	2895	193	9	2886	1	0
61	4/10/2020	3525	423	9	3102	1	0
62	4/11/2020	4426	169	9	4417	1	0
63	4/12/2020	5184	136	12	5172	1	0
64	4/13/2020	5691	307	14	5677	1	0
65	4/14/2020	6299	245	16	6283	1	0
66	4/15/2020	6871	572	16	6855	1	0
67	4/16/2020	7240	315	16	7224	1	0
68	4/17/2020	7722	268	16	7442	1	0
69	4/18/2020	8013	143	30	7983	3	0
70	4/19/2020	8081	183	31	8050	4	0
71	4/20/2020	8414	94	31	8383	4	0
72	4/21/2020	8763	55	32	8731	4	0
73	4/22/2020	9014	65	45	8969	7	0
74	4/23/2020	9200	91	47	9153	10	0
75	4/24/2020	9401	91	48	9354	10	0
76	4/25/2020	9666	77	49	9617	12	0
77	4/26/2020	9897	17	51	9880	16	0
78	4/27/2020	10471	150	52	10419	16	0
79	4/28/2020	10807	150	54	10753	16	0
80	4/29/2020	11524	607	57	11467	16	0
81	4/30/2020	12011	496	57	11954	16	0
82	5/1/2020	12577	336	59	12518	16	0
83	5/2/2020	13098	195	59	13039	16	0
84	5/3/2020	13424	164	69	13355	16	0
85	5/4/2020	13640	144	75	13565	16	0
86	5/5/2020	13850	115	82	13768	16	0
87	5/6/2020	14096	273	99	13997	22	0
88	5/7/2020	14511	514	99	14412	22	0
89	5/8/2020	15492	477	102	15390	30	0
90	5/9/2020	16309	817	109	16200	31	0
91	5/10/2020	16898	411	110	16788	31	0
92	5/11/2020	17809	NA	121	17688	33	0
93	5/12/2020	18964	NA	191	18773	33	0
94	5/13/2020	21340	NA	219	21121	35	0
95	5/14/2020	22664	NA	246	22418	35	0
96	5/15/2020	23914	NA	258	23656	36	0
97	5/16/2020	26691	NA	278	26413	36	0
98	5/17/2020	28161	NA	292	27869	36	2
99	5/18/2020	30724	NA	357	30367	36	2
100	5/19/2020	33006	NA	402	32604	37	2
101	5/20/2020	35494	NA	427	35067	45	2
102	5/21/2020	38737	NA	454	38283	49	3
103	5/22/2020	42517	NA	507	42010	70	3
104	5/23/2020	45959	NA	584	45375	70	3
105	5/24/2020	48815	NA	603	48212	87	3
106	5/25/2020	51642	NA	682	50960	112	4
107	5/26/2020	54697	NA	772	53925	155	4
108	5/27/2020	58277	NA	886	57391	183	4
109	5/28/2020	60916	NA	1042	59874	187	5
110	5/29/2020	64154	NA	1212	62942	206	6
111	5/30/2020	66729	NA	1401	65328	219	6
112	5/31/2020	69587	NA	1572	68015	220	8
113	6/1/2020	71903	NA	1798	70105	221	8
114	6/2/2020	75343	NA	2099	73244	266	8
115	6/3/2020	80267	NA	2300	77967	278	9
116	6/4/2020	84134	NA	2634	81500	290	10
117	6/5/2020	88366	NA	2912	85454	333	11
118	6/6/2020	92477	NA	3235	89242	365	13
119	6/7/2020	96205	NA	3448	92757	467	13
