hospital_id	hospital_name	hospital_city	hospital_district	hospital_province
STIDH	Sukraraj Tropical and Infectious Disease Hospital	Kathmandu	Kathmandu	Bagmati
SEPH	Seti Provincial Hospital	Dhangadhi 	Kailali	Sudurpashchim
NSRH	Narayani Sub-Regional Hospital	Birgunj	Parsa	Province No. 2
PAHS	Patan Academy of Health Science	Lalitpur	Lalitpur	Bagmati
KOSH	KOSH	Biratnagar	Morang	Province No. 1
BHTH	Bharatpur Hospital	Bharatpur	Chitwan	Bagmati
DZH	Dhaulagiri Zonal Hospital	Baglung	Baglung	Gandaki
BZH	Bheri Zonal Hospital	Nepalgunj	Bake	Province No. 5
LZH	Lumbini Zonal Hospital	Butwal	Rupandehi 	Province No. 5
SKMCH	Sushul Koirala Memorial Cancer Hospital	Khajura Khurda	Banke	Province No. 5
SZH	Gajendra Narayan Singh Sagarmatha Zonal Hospital	Rajbiraj 	Saptari	Province No. 2
