lab_id	lab_name	lab_city	lab_district	lab_province
NPHL	Nepal Public Health Laboratory	Kathmandu	Kathmandu	Bagmati
BPKIHS	BP Koirala Institute of Health Sciences	Dharan	Sunsari	Province No. 1
NADIL	National Avian Disease Investigation Laboratory	Bharatpur	Chitwan	Bagmati
JPH	Janakpur Provincial Hospital	Janakpur	Dhanusa	Province No. 2
DH	Dhulikhel Hospital	Dhulikhel	Kabhrepalanchok	Bagmati
SEPH	Seti Provincial Hospital	Dhangadhi	Kailali	Sudurpashchim
POKAHS	Pokhara Academy of Health Science	Pokhara	Kaski	Gandaki
BH	Bir Hospital	Kathmandu	Kathmandu	Bagmati
VBDRTC	Vector Borne Disease Research and Training Center	Hetauda	Makawanpur	Bagmati
NWRC	National Wheat Research Center	Omsatiya	Rupandehi	Province No. 5
SUPH	Surkhet Provincial Hospital	Birendranagar	Surkhet	Karnali
KZH	Koshi Zonal Hospital	Biratnagar	Morang	Province No. 1
BZH	Bheri Zonal Hospital	Nepalgunj	Bake	Province No. 5
PAHS	Patan Academy of Health Science	Lalitpur	Lalitpur	Bagmati
